Zone,Year,Day of the Week,Time Period,Acc. Count,,,,,,,,
Birmingham,2005,Monday,00:00 - 01:00,14,,,,,,,,
Birmingham,2005,Monday,01:00 - 02:00,6,,,,,,,,
Birmingham,2005,Monday,02:00 - 03:00,4,,,,,,,,
Birmingham,2005,Monday,03:00 - 04:00,1,,,,,,,,
Birmingham,2005,Monday,04:00 - 05:00,1,,,,,,,,
Birmingham,2005,Monday,05:00 - 06:00,2,,,,,,,,
Birmingham,2005,Monday,06:00 - 07:00,11,,,,,,,,
Birmingham,2005,Monday,07:00 - 08:00,22,,,,,,,,
Birmingham,2005,Monday,08:00 - 09:00,47,,,,,,,,
Birmingham,2005,Monday,09:00 - 10:00,20,,,,,,,,
Birmingham,2005,Monday,10:00 - 11:00,23,,,,,,,,
Birmingham,2005,Monday,11:00 - 12:00,28,,,,,,,,
Birmingham,2005,Monday,12:00 - 13:00,27,,,,,,,,
Birmingham,2005,Monday,13:00 - 14:00,35,,,,,,,,
Birmingham,2005,Monday,14:00 - 15:00,43,,,,,,,,
Birmingham,2005,Monday,15:00 - 16:00,47,,,,,,,,
Birmingham,2005,Monday,16:00 - 17:00,51,,,,,,,,
Birmingham,2005,Monday,17:00 - 18:00,58,,,,,,,,
Birmingham,2005,Monday,18:00 - 19:00,47,,,,,,,,
Birmingham,2005,Monday,19:00 - 20:00,45,,,,,,,,
Birmingham,2005,Monday,20:00 - 21:00,22,,,,,,,,
Birmingham,2005,Monday,21:00 - 22:00,21,,,,,,,,
Birmingham,2005,Monday,22:00 - 23:00,18,,,,,,,,
Birmingham,2005,Monday,23:00 - 24:00,13,Total accident count ( Monday ),606,,,,,,
Birmingham,2005,Tuesday,00:00 - 01:00,7,,,,,,,,
Birmingham,2005,Tuesday,01:00 - 02:00,2,,,,,,,,
Birmingham,2005,Tuesday,02:00 - 03:00,3,,,,,,,,
Birmingham,2005,Tuesday,03:00 - 04:00,6,,,,,,,,
Birmingham,2005,Tuesday,04:00 - 05:00,3,,,,,,,,
Birmingham,2005,Tuesday,05:00 - 06:00,2,,,,,,,,
Birmingham,2005,Tuesday,06:00 - 07:00,4,,,,,,,,
Birmingham,2005,Tuesday,07:00 - 08:00,27,,,,,,,,
Birmingham,2005,Tuesday,08:00 - 09:00,42,,,,,,,,
Birmingham,2005,Tuesday,09:00 - 10:00,19,,,,,,,,
Birmingham,2005,Tuesday,10:00 - 11:00,29,,,,,,,,
Birmingham,2005,Tuesday,11:00 - 12:00,33,,,,,,,,
Birmingham,2005,Tuesday,12:00 - 13:00,27,,,,,,,,
Birmingham,2005,Tuesday,13:00 - 14:00,36,,,,,,,,
Birmingham,2005,Tuesday,14:00 - 15:00,35,,,,,,,,
Birmingham,2005,Tuesday,15:00 - 16:00,53,,,,,,,,
Birmingham,2005,Tuesday,16:00 - 17:00,59,,,,,,,,
Birmingham,2005,Tuesday,17:00 - 18:00,68,,,,,,,,
Birmingham,2005,Tuesday,18:00 - 19:00,35,,,,,,,,
Birmingham,2005,Tuesday,19:00 - 20:00,30,,,,,,,,
Birmingham,2005,Tuesday,20:00 - 21:00,27,,,,,,,,
Birmingham,2005,Tuesday,21:00 - 22:00,21,,,,,,,,
Birmingham,2005,Tuesday,22:00 - 23:00,19,,,,,,,,
Birmingham,2005,Tuesday,23:00 - 24:00,15,Total accident count ( Tursday ),602,,,,,,
Birmingham,2005,Wednesday,00:00 - 01:00,11,,,,,,,,
Birmingham,2005,Wednesday,01:00 - 02:00,4,,,,,,,,
Birmingham,2005,Wednesday,02:00 - 03:00,2,,,,,,,,
Birmingham,2005,Wednesday,03:00 - 04:00,2,,,,,,,,
Birmingham,2005,Wednesday,04:00 - 05:00,1,,,,,,,,
Birmingham,2005,Wednesday,05:00 - 06:00,2,,,,,,,,
Birmingham,2005,Wednesday,06:00 - 07:00,3,,,,,,,,
Birmingham,2005,Wednesday,07:00 - 08:00,26,,,,,,,,
